Gradiente numérico en (1,2): ['8.0000', '7.0000']
Gradiente analítico en (1,2): [2*1+3*2, 3*1+2*2] = [8, 7]

--- Paso 3: Descenso de gradiente 1D ---
step  0  x=  4.0000  f(x)= 16.000000
step  1  x=  3.2000  f(x)= 10.240000
step  2  x=  2.5600  f(x)=  6.553600
step  3  x=  2.0480  f(x)=  4.194304
step  4  x=  1.6384  f(x)=  2.684355
step  5  x=  1.3107  f(x)=  1.717987
step  6  x=  1.0486  f(x)=  1.099512
step  7  x=  0.8389  f(x)=  0.703687
step  8  x=  0.6711  f(x)=  0.450360
step  9  x=  0.5369  f(x)=  0.288230
step 10  x=  0.4295  f(x)=  0.184467
step 11  x=  0.3436  f(x)=  0.118059
step 12  x=  0.2749  f(x)=  0.075558
step 13  x=  0.2199  f(x)=  0.048357
step 14  x=  0.1759  f(x)=  0.030949
step 15  x=  0.1407  f(x)=  0.019807
step 16  x=  0.1126  f(x)=  0.012677
step 17  x=  0.0901  f(x)=  0.008113
step 18  x=  0.0721  f(x)=  0.005192
step 19  x=  0.0576  f(x)=  0.003323

--- Paso 4: Descenso de gradiente 2D ---
step  0  point=( 3.2000,  2.4000)  f=16.000000
step  5  point=( 1.0486,  0.7864)  f=1.717987
step 10  point=( 0.3436,  0.2577)  f=0.184467
step 15  point=( 0.1126,  0.0844)  f=0.019807
step 20  point=( 0.0369,  0.0277)  f=0.002127
step 25  point=( 0.0121,  0.0091)  f=0.000228
step 29  point=( 0.0050,  0.0037)  f=0.000038
